timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1664629172747,0.07788086,-1.0418091,-0.2822876,-4.46875,2.140625,2.21875,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629172791,0.017333984,-1.4155884,-0.41119385,-7.484375,19.25,4.71875,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629172835,0.47436523,-1.3904419,-0.3032837,-11.828125,17.703125,5.515625,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629172865,0.390625,-1.1184692,-0.4981079,-17.875,-14.140625,1.421875,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629172910,0.31420898,-0.9837036,-0.487854,-0.703125,0.84375,-3.453125,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629172986,1.0458984,-0.82354736,-0.20562744,-6.625,-7.25,-2.578125,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629173005,0.31469727,-0.944397,-0.27520752,-12.203125,-37.9375,5.28125,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629173063,-0.057617188,-0.7295532,-0.2600708,8.390625,-19.234375,-0.140625,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629173069,0.32739258,-0.7732544,-0.14776611,7.671875,-8.6875,-0.90625,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629173120,0.28515625,-0.8369751,-0.1531372,4.34375,-13.890625,0.828125,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629173151,0.140625,-0.54693604,-0.17755127,9.421875,-20.03125,2.78125,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629173183,0.16772461,-0.44708252,-0.15875244,10.921875,-7.015625,11.0,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629173228,0.22265625,-0.82281494,-0.23736572,1.0625,-7.84375,18.203125,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629173270,0.42358398,-1.1177368,-0.13067627,7.46875,4.203125,12.46875,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629173302,0.42993164,-1.305481,-0.22589111,8.296875,-2.75,11.28125,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629173346,0.33813477,-1.2451782,-0.16656494,4.03125,7.453125,0.578125,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629173376,0.39208984,-1.1069946,-0.30181885,9.359375,18.96875,-17.921875,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629173420,0.6533203,-1.1660767,-0.678772,17.015625,12.71875,-13.390625,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629173481,0.22851562,-0.82647705,-0.5413208,-0.546875,0.40625,0.8125,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629173498,0.0847168,-0.76446533,-0.43389893,-1.609375,9.25,-10.234375,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629173572,0.35327148,-0.77423096,-0.37335205,-0.265625,6.203125,-9.03125,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629173585,0.17871094,-0.70098877,-0.2588501,-4.0,-2.359375,-0.640625,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629173615,0.040771484,-0.59869385,-0.20855713,-2.390625,-0.671875,-3.0,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629173676,0.11376953,-0.46783447,-0.23394775,-0.359375,5.75,-7.640625,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629173705,0.19335938,-0.48883057,-0.255188,9.203125,11.65625,-0.546875,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629173736,0.25854492,-0.7852173,-0.15484619,13.65625,8.859375,-2.34375,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629173780,0.08569336,-1.1289673,-0.26739502,-4.078125,2.921875,-3.078125,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629173810,0.02368164,-1.4207153,-0.43829346,-9.78125,3.9375,-7.0,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629173856,0.23022461,-1.4512329,-0.36773682,-15.171875,7.859375,0.5,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629173902,0.2331543,-1.1445923,-0.55841064,-24.15625,2.3125,-5.984375,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629173931,0.40112305,-0.86431885,-0.44976807,-11.53125,16.109375,-16.734375,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629173975,1.0009766,-0.87042236,-0.2930298,-10.21875,-11.15625,7.015625,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629174036,0.15185547,-0.8960571,-0.23712158,-13.296875,-28.453125,6.9375,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629174055,0.020019531,-0.8040161,-0.25299072,-0.953125,-9.015625,-0.84375,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629174111,0.37768555,-0.75665283,-0.09820557,-5.078125,-2.953125,8.90625,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629174126,0.22875977,-0.7583618,-0.12017822,1.0,-8.921875,6.203125,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629174187,0.16918945,-0.5545044,-0.1795044,11.21875,-12.390625,10.59375,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629174220,0.22509766,-0.47369385,-0.16192627,8.109375,-16.859375,15.1875,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629174247,0.1496582,-0.80181885,-0.144104,10.1875,-11.078125,12.1875,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629174321,0.14746094,-1.0505981,-0.12701416,11.265625,2.640625,10.84375,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629174335,0.12182617,-1.274231,-0.21099854,3.453125,12.640625,9.921875,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629174367,0.5114746,-1.3596802,-0.14117432,17.265625,21.671875,-5.640625,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629174411,0.38354492,-1.210022,-0.48931885,-10.671875,8.515625,-10.921875,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629174458,0.86450195,-1.1436157,-0.5027466,14.9375,-1.40625,9.828125,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629174485,0.06738281,-0.82598877,-0.44732666,-6.203125,-2.890625,-8.046875,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629174533,0.10986328,-0.6675415,-0.40777588,-3.046875,4.5625,-13.1875,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629174560,0.3125,-0.88360596,-0.2637329,-3.90625,-4.84375,-12.390625,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629174606,0.09790039,-0.6567993,-0.2539673,-4.265625,-1.125,-1.234375,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629174666,0.11376953,-0.585022,-0.22003174,4.6875,7.9375,-3.203125,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629174682,0.17211914,-0.5845337,-0.2678833,6.03125,5.71875,-2.015625,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
