# Sensor type: Thingy
# Activity type: Climbing stairs
# Activity code: 12
# Subject id: s1918275
# Notes: 
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1664985719610,-0.97265625,0.21582031,-0.048828125,6.5625,0.15625,-3.5,0.0,0.0,0.0
1664985719639,-1.0039062,0.21289062,-0.07714844,2.5625,2.90625,-2.9375,0.0,0.0,0.0
1664985719668,-0.99121094,0.23046875,-0.08496094,7.375,2.71875,-5.03125,-130.8125,10.375,-96.625
1664985719730,-0.9707031,0.19042969,-0.07324219,10.84375,4.375,-5.375,0.0,0.0,0.0
1664985719760,-0.9785156,0.24511719,-0.09375,2.0,7.5,-5.9375,0.0,0.0,0.0
1664985719790,-1.0009766,0.20898438,-0.111328125,0.40625,6.15625,-4.71875,0.0,0.0,0.0
1664985719850,-0.9667969,0.23535156,-0.125,-3.0,3.28125,-6.125,0.0,0.0,0.0
1664985719882,-0.9746094,0.15136719,-0.11230469,-5.75,5.53125,-0.8125,0.0,0.0,0.0
1664985719908,-1.0058594,0.13183594,-0.140625,1.875,1.375,2.375,0.0,0.0,0.0
1664985719970,-1.0302734,0.12402344,-0.15917969,9.625,-1.125,-1.34375,0.0,0.0,0.0
1664985720003,-0.9824219,0.15039062,-0.11328125,1.6875,4.5,-10.4375,0.0,0.0,0.0
1664985720028,-0.9980469,0.16503906,-0.15429688,-0.6875,5.1875,-8.0,0.0,0.0,0.0
1664985720059,-1.0029297,0.1640625,-0.036132812,-5.9375,5.84375,-5.875,0.0,0.0,0.0
1664985720119,-1.0654297,0.041015625,-0.09667969,8.59375,-1.46875,-2.75,0.0,0.0,0.0
1664985720158,-1.0332031,0.060546875,-0.14648438,8.96875,1.5,-16.125,0.0,0.0,0.0
1664985720209,-0.97265625,0.15136719,-0.041992188,3.09375,5.1875,-19.78125,-130.8125,8.5625,-100.375
1664985720241,-0.9638672,0.12988281,-0.072265625,-3.90625,1.9375,-9.21875,0.0,0.0,0.0
1664985720271,-1.03125,0.123046875,-0.20214844,11.34375,4.4375,-4.59375,0.0,0.0,0.0
1664985720300,-0.98535156,0.072265625,-0.06738281,10.3125,11.09375,-7.71875,0.0,0.0,0.0
1664985720367,-0.9550781,0.083984375,-0.13574219,-6.4375,15.375,-9.21875,0.0,0.0,0.0
1664985720391,-0.9980469,0.09863281,-0.17285156,0.46875,17.5,-4.96875,0.0,0.0,0.0
1664985720419,-0.9902344,0.1015625,-0.08203125,11.09375,12.8125,2.71875,0.0,0.0,0.0
1664985720479,-1.0,0.07910156,-0.072265625,3.65625,12.5625,5.21875,0.0,0.0,0.0
1664985720513,-0.9873047,0.12207031,-0.12402344,-12.84375,15.84375,6.75,0.0,0.0,0.0
1664985720539,-0.984375,0.064453125,-0.14160156,-10.09375,18.46875,9.5,0.0,0.0,0.0
1664985720600,-1.0585938,0.115234375,-0.08300781,-7.78125,18.71875,15.0625,0.0,0.0,0.0
1664985720635,-1.0166016,0.09667969,-0.12402344,-18.875,23.0625,17.8125,0.0,0.0,0.0
1664985720693,-1.2177734,0.11230469,-0.2109375,-19.71875,25.4375,17.125,-134.875,9.8125,-102.9375
1664985720721,-1.3828125,-0.017578125,-0.115234375,-1.90625,14.9375,10.1875,0.0,0.0,0.0
1664985720749,-1.4609375,0.20800781,0.07421875,-0.375,-7.8125,5.53125,0.0,0.0,0.0
1664985720782,-1.3994141,0.13964844,0.05859375,-28.75,-55.75,13.21875,0.0,0.0,0.0
1664985720840,-1.1679688,0.31640625,0.0859375,-25.71875,-106.21875,7.625,0.0,0.0,0.0
1664985720870,-1.1962891,0.3798828,-0.22070312,-22.15625,-139.59375,-9.0625,0.0,0.0,0.0
1664985720913,-1.3388672,0.26367188,-0.17578125,-15.9375,-148.15625,-22.0625,0.0,0.0,0.0
1664985720963,-1.3564453,0.19140625,-0.18847656,-8.4375,-122.9375,-52.1875,0.0,0.0,0.0
1664985720990,-1.3740234,-0.05078125,0.016601562,116.8125,-200.03125,-64.71875,0.0,0.0,0.0
1664985721020,-0.7988281,0.4951172,0.33984375,76.09375,-207.53125,-74.96875,0.0,0.0,0.0
1664985721082,-0.8779297,0.22167969,0.07128906,20.84375,-154.8125,-57.5,0.0,0.0,0.0
1664985721110,-0.75097656,-0.06347656,0.18945312,31.90625,-181.09375,-31.9375,0.0,0.0,0.0
1664985721139,-0.4345703,0.061523438,0.10449219,47.28125,-156.75,-29.5625,0.0,0.0,0.0
1664985721199,-0.42089844,0.17871094,0.2841797,66.28125,-114.8125,-14.59375,-104.375,8.875,-71.4375
1664985721231,-0.34472656,0.103515625,0.41015625,40.4375,-56.90625,-25.84375,0.0,0.0,0.0
1664985721263,-0.16601562,0.005859375,0.6904297,43.9375,34.53125,-32.90625,0.0,0.0,0.0
1664985721319,0.015625,-0.0234375,0.24902344,16.40625,126.625,-20.40625,0.0,0.0,0.0
1664985721350,-1.9892578,0.043945312,1.3925781,1.5,-18.75,9.875,0.0,0.0,0.0
1664985721382,-1.0888672,0.61816406,1.0791016,25.0625,96.0625,-22.46875,0.0,0.0,0.0
1664985721441,-0.1328125,0.13183594,0.053710938,-64.96875,161.84375,-16.4375,0.0,0.0,0.0
1664985721470,-1.7041016,-0.07421875,0.23730469,-62.40625,109.0,49.3125,0.0,0.0,0.0
1664985721499,-0.9316406,0.103515625,0.26464844,2.375,84.03125,15.5625,0.0,0.0,0.0
1664985721560,-0.7792969,0.19628906,0.20996094,-23.75,102.40625,27.6875,0.0,0.0,0.0
1664985721591,-0.9638672,0.057617188,0.13964844,-67.875,134.8125,26.53125,0.0,0.0,0.0
1664985721619,-0.87597656,0.1328125,0.06738281,-66.65625,105.75,39.15625,0.0,0.0,0.0
1664985721679,-0.8027344,0.0625,0.047851562,-38.71875,96.46875,49.0,-125.875,9.625,-89.3125
1664985721710,-1.1572266,-0.15234375,0.034179688,-9.96875,66.34375,51.75,0.0,0.0,0.0
1664985721741,-1.0048828,-0.0107421875,0.07714844,56.875,20.125,8.84375,0.0,0.0,0.0
1664985721800,-0.9433594,0.19042969,0.22753906,16.78125,47.09375,2.25,0.0,0.0,0.0
1664985721831,-1.0732422,0.091796875,0.083984375,-14.53125,32.6875,10.78125,0.0,0.0,0.0
1664985721862,-0.9433594,0.10449219,0.09277344,3.53125,20.0,16.09375,0.0,0.0,0.0
1664985721920,-1.2802734,0.08105469,0.20507812,30.4375,59.0,9.8125,0.0,0.0,0.0
1664985721949,-1.6025391,0.25195312,0.1328125,-1.25,66.875,14.09375,0.0,0.0,0.0
1664985721981,-1.4580078,0.13964844,-0.052734375,-37.25,-6.125,-4.03125,0.0,0.0,0.0
1664985722042,-1.2158203,0.5722656,0.1015625,12.5,-68.4375,6.75,0.0,0.0,0.0
1664985722071,-1.0908203,0.3017578,0.3251953,33.84375,-96.09375,8.78125,0.0,0.0,0.0
1664985722103,-1.4101562,0.0625,0.10839844,-102.5625,-114.625,-47.4375,0.0,0.0,0.0
1664985722162,-1.3027344,-0.038085938,-0.41796875,33.5,-113.40625,-87.96875,0.0,0.0,0.0
1664985722190,-1.1025391,0.07910156,0.076171875,41.25,-157.59375,-75.875,-125.25,10.8125,-89.625
1664985722219,-0.765625,0.5517578,0.17578125,82.4375,-195.5625,-71.5,0.0,0.0,0.0
1664985722282,-0.6113281,0.21386719,0.26171875,91.71875,-175.96875,-33.59375,0.0,0.0,0.0
1664985722313,-0.69921875,0.048828125,0.20996094,8.78125,-125.625,-35.21875,0.0,0.0,0.0
1664985722340,-0.59472656,0.0,0.15039062,44.96875,-148.21875,-39.0625,0.0,0.0,0.0
1664985722401,-0.40820312,0.083984375,0.30273438,49.71875,-113.0625,-14.59375,0.0,0.0,0.0
1664985722439,-0.53515625,0.0859375,0.54296875,37.03125,-54.9375,1.9375,0.0,0.0,0.0
1664985722461,-0.18164062,0.27734375,0.51171875,38.1875,-3.3125,-4.71875,0.0,0.0,0.0
1664985722519,-0.39257812,-0.19433594,0.78515625,10.125,96.65625,-23.5,0.0,0.0,0.0
1664985722551,-1.1445312,-0.049804688,0.859375,-51.40625,73.03125,-14.34375,0.0,0.0,0.0
1664985722582,-1.4160156,0.4423828,0.8769531,-3.75,110.46875,-9.84375,0.0,0.0,0.0
1664985722640,-0.3828125,0.24023438,0.5576172,-31.6875,116.375,-31.9375,0.0,0.0,0.0
1664985722672,-0.9248047,0.060546875,0.19628906,-97.375,153.65625,44.25,-111.0,15.1875,-77.875
1664985722699,-1.4228516,0.001953125,0.13964844,-48.28125,132.0,39.71875,0.0,0.0,0.0
1664985722759,-0.9501953,0.041992188,0.08691406,-21.75,101.125,26.71875,0.0,0.0,0.0
1664985722793,-0.7050781,0.10644531,0.1953125,-41.28125,129.375,23.0625,0.0,0.0,0.0
1664985722849,-0.79296875,0.20019531,0.109375,-62.5625,119.75,39.21875,0.0,0.0,0.0
1664985722885,-0.98046875,0.103515625,-0.028320312,-44.875,98.0625,63.46875,0.0,0.0,0.0
1664985722909,-1.1210938,-0.16601562,-0.052734375,7.1875,65.78125,64.6875,0.0,0.0,0.0
1664985722944,-1.0634766,-0.044921875,-0.038085938,57.84375,40.4375,14.5625,0.0,0.0,0.0
1664985722999,-0.8847656,0.22167969,0.047851562,2.71875,83.96875,-5.09375,0.0,0.0,0.0
1664985723033,-0.95703125,0.22460938,-0.10449219,-55.375,55.46875,-4.71875,0.0,0.0,0.0
1664985723059,-1.0869141,0.01953125,0.26757812,34.03125,13.09375,14.28125,0.0,0.0,0.0
1664985723119,-1.2402344,0.12792969,0.19140625,-37.78125,33.84375,6.34375,0.0,0.0,0.0
1664985723149,-1.4873047,0.15039062,0.0625,10.96875,29.15625,6.5625,0.0,0.0,0.0
1664985723180,-1.640625,0.015625,0.14648438,-17.46875,-1.1875,2.90625,-129.875,19.0625,-101.125
1664985723242,-1.2783203,0.60546875,0.017578125,-37.0625,-57.21875,0.65625,0.0,0.0,0.0
1664985723274,-1.1572266,0.4873047,0.017578125,-4.40625,-88.46875,15.90625,0.0,0.0,0.0
1664985723299,-1.1435547,0.2783203,0.064453125,6.5625,-118.78125,-13.03125,0.0,0.0,0.0
1664985723360,-1.2519531,0.4267578,-0.2265625,-51.65625,-119.28125,-36.9375,0.0,0.0,0.0
1664985723392,-1.2929688,0.22070312,-0.109375,3.21875,-129.34375,-47.9375,0.0,0.0,0.0
1664985723420,-1.3125,-0.0078125,0.37402344,43.875,-221.28125,-61.96875,0.0,0.0,0.0
1664985723479,-0.5810547,0.51171875,-0.01953125,2.375,-169.5625,-54.34375,0.0,0.0,0.0
1664985723511,-0.67285156,0.111328125,0.0625,33.3125,-161.5,-23.875,0.0,0.0,0.0
1664985723544,-0.6191406,0.03125,0.26367188,50.15625,-170.78125,-13.3125,0.0,0.0,0.0
1664985723602,-0.3857422,0.11425781,0.31933594,55.59375,-156.3125,-20.03125,0.0,0.0,0.0
1664985723633,-0.20214844,0.119140625,0.30371094,54.6875,-78.4375,-6.96875,0.0,0.0,0.0
1664985723662,-0.16015625,0.14453125,0.70996094,37.21875,32.03125,-4.34375,-98.375,18.5,-70.125
1664985723719,-0.20703125,0.2919922,0.7080078,14.28125,127.71875,-2.21875,0.0,0.0,0.0
1664985723751,-1.9111328,0.47265625,0.6953125,20.90625,42.90625,21.90625,0.0,0.0,0.0
1664985723784,-1.0253906,0.3251953,0.71191406,-53.3125,127.96875,-36.9375,0.0,0.0,0.0
1664985723839,-0.14257812,0.18457031,0.3466797,-66.40625,133.21875,-6.59375,0.0,0.0,0.0
1664985723869,-1.9003906,-0.23242188,0.3232422,-65.3125,139.6875,25.8125,0.0,0.0,0.0
1664985723901,-0.80078125,0.047851562,0.16894531,-6.84375,92.28125,-0.4375,0.0,0.0,0.0
1664985723961,-0.6064453,0.14257812,0.18164062,8.78125,94.21875,21.15625,0.0,0.0,0.0
1664985723991,-0.87890625,0.22753906,0.14941406,-19.96875,115.09375,28.25,0.0,0.0,0.0
1664985724028,-1.1523438,0.18945312,0.02734375,-66.59375,125.96875,38.125,0.0,0.0,0.0
1664985724080,-1.1865234,-0.091796875,-0.029296875,10.53125,80.1875,35.09375,0.0,0.0,0.0
1664985724113,-1.0439453,0.025390625,0.00390625,39.96875,43.0,19.28125,0.0,0.0,0.0
1664985724141,-0.97558594,0.13574219,0.12011719,35.875,31.28125,-4.09375,0.0,0.0,0.0
1664985724200,-0.875,0.1640625,0.103515625,1.9375,39.34375,-9.21875,-127.5,17.75,-93.1875
1664985724230,-0.8720703,0.123046875,0.057617188,-18.6875,22.5625,-5.9375,0.0,0.0,0.0
1664985724260,-1.0058594,0.07519531,0.061523438,6.40625,42.96875,4.4375,0.0,0.0,0.0
1664985724324,-1.21875,-0.03125,0.22460938,4.6875,57.90625,-2.03125,0.0,0.0,0.0
1664985724352,-1.4462891,0.20507812,0.15527344,-0.25,83.0625,-6.90625,0.0,0.0,0.0
1664985724381,-1.5185547,0.28710938,0.046875,-24.84375,37.65625,0.78125,0.0,0.0,0.0
1664985724440,-1.3105469,0.36132812,0.107421875,23.90625,-40.96875,12.25,0.0,0.0,0.0
1664985724469,-1.1933594,0.21679688,0.001953125,23.375,-106.59375,18.65625,0.0,0.0,0.0
1664985724499,-1.2128906,0.27929688,0.103515625,-65.4375,-132.78125,-22.65625,0.0,0.0,0.0
1664985724560,-1.2861328,0.38085938,-0.6113281,-50.25,-107.125,-56.59375,0.0,0.0,0.0
1664985724589,-1.3164062,0.20214844,0.033203125,65.28125,-155.96875,-45.78125,0.0,0.0,0.0
1664985724622,-1.2607422,0.025390625,0.24609375,57.0625,-211.1875,-63.0,0.0,0.0,0.0
1664985724682,-0.44628906,0.35351562,0.30859375,37.71875,-190.5625,-68.0625,-117.75,15.8125,-80.0
1664985724710,-0.6816406,0.24902344,0.047851562,12.0625,-136.96875,-5.09375,0.0,0.0,0.0
1664985724743,-0.6484375,0.051757812,0.15039062,73.15625,-165.1875,4.5,0.0,0.0,0.0
1664985724802,-0.29101562,0.0234375,0.21582031,41.0,-121.53125,-18.4375,0.0,0.0,0.0
1664985724833,-0.29882812,0.15820312,0.28515625,59.75,-91.8125,18.46875,0.0,0.0,0.0
1664985724863,-0.18066406,0.14648438,0.5859375,49.4375,2.78125,8.34375,0.0,0.0,0.0
1664985724920,-0.28125,0.28710938,0.7763672,8.90625,102.09375,-0.1875,0.0,0.0,0.0
1664985724950,-1.6484375,0.6152344,0.5595703,28.125,32.53125,39.21875,0.0,0.0,0.0
1664985724982,-1.1826172,0.09667969,0.7001953,-46.09375,119.625,-32.4375,0.0,0.0,0.0
1664985725040,-0.0126953125,0.1875,0.6611328,-37.6875,117.90625,-25.34375,0.0,0.0,0.0
1664985725071,-1.4707031,-0.14550781,0.15625,-61.46875,157.6875,30.625,0.0,0.0,0.0
1664985725100,-1.1455078,0.15332031,0.26464844,-19.5,95.125,7.3125,0.0,0.0,0.0
1664985725160,-0.5908203,0.2265625,0.15722656,-16.3125,96.46875,15.78125,0.0,0.0,0.0
1664985725199,-1.0390625,0.111328125,0.12402344,-39.0625,136.03125,34.78125,-120.125,20.0,-82.5625
1664985725218,-1.1367188,0.08203125,0.049804688,-84.90625,143.0625,26.0,0.0,0.0,0.0
1664985725281,-0.9140625,0.080078125,0.032226562,1.09375,64.8125,36.1875,0.0,0.0,0.0
1664985725309,-0.9824219,0.078125,0.08496094,-11.5625,57.84375,35.6875,0.0,0.0,0.0
1664985725341,-0.92089844,-0.018554688,9.765625E-4,0.96875,38.4375,7.90625,0.0,0.0,0.0
1664985725400,-0.875,0.09472656,0.14550781,2.5625,35.375,-1.1875,0.0,0.0,0.0
1664985725435,-0.9658203,0.13378906,0.09863281,-23.28125,39.84375,-1.34375,0.0,0.0,0.0
1664985725464,-1.1064453,0.09277344,0.17480469,-1.53125,47.90625,4.6875,0.0,0.0,0.0
1664985725519,-1.1347656,0.18164062,0.15234375,13.90625,68.84375,-2.6875,0.0,0.0,0.0
1664985725551,-1.4951172,0.2939453,0.27441406,-3.75,60.84375,9.8125,0.0,0.0,0.0
1664985725579,-1.4892578,0.11816406,-0.02734375,-31.875,-7.15625,-3.1875,0.0,0.0,0.0
1664985725639,-1.2285156,0.37890625,0.04296875,12.0,-84.25,2.125,0.0,0.0,0.0
1664985725670,-1.0771484,0.3876953,0.0625,-17.84375,-108.40625,2.0,-128.6875,17.75,-95.125
1664985725700,-1.2685547,0.2841797,0.107421875,-120.0625,-71.125,-40.3125,0.0,0.0,0.0
1664985725759,-1.140625,0.18164062,-0.4345703,37.65625,-120.9375,-52.09375,0.0,0.0,0.0
1664985725791,-1.3740234,0.05859375,0.083984375,86.53125,-154.125,-62.875,0.0,0.0,0.0
1664985725821,-1.0458984,0.13867188,0.2939453,75.78125,-201.5625,-79.0,0.0,0.0,0.0
1664985725880,-0.64160156,0.5263672,0.1796875,50.8125,-177.09375,-49.5625,0.0,0.0,0.0
1664985725910,-0.703125,0.19238281,0.171875,26.34375,-142.03125,-10.9375,0.0,0.0,0.0
