# Sensor type: Respeck
# Activity type: Climbing stairs
# Activity code: 12
# Subject id: s1957945
# Notes: 
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1664986642851,0.05444336,-0.94366455,0.28729248,-3.5,-5.09375,-1.015625
1664986642889,0.040771484,-0.9380493,0.32122803,0.203125,-2.03125,-0.453125
1664986642923,0.037109375,-0.94073486,0.33221436,0.1875,-3.6875,-0.125
1664986642963,0.025878906,-0.95758057,0.32635498,1.3125,-4.125,0.359375
1664986643009,0.032226562,-0.9380493,0.33953857,1.234375,-3.109375,0.09375
1664986643040,0.013671875,-0.95977783,0.34075928,1.375,-2.484375,0.140625
1664986643090,0.029296875,-0.96417236,0.31072998,-0.859375,-2.078125,0.0625
1664986643128,0.060546875,-0.9468384,0.3139038,0.796875,-0.484375,-0.234375
1664986643159,0.040527344,-0.9326782,0.30828857,0.953125,-1.390625,-0.25
1664986643204,0.018554688,-0.9578247,0.31341553,1.953125,-0.765625,-0.9375
1664986643234,0.042236328,-0.94073486,0.30194092,1.140625,-0.90625,-1.125
1664986643279,0.044921875,-0.9500122,0.30316162,1.28125,0.1875,-1.28125
1664986643325,0.042236328,-0.94244385,0.307312,1.453125,0.21875,-0.953125
1664986643357,0.049560547,-0.944397,0.30633545,1.03125,0.609375,-0.015625
1664986643400,0.04711914,-0.9368286,0.322937,4.546875,1.1875,1.078125
1664986643444,0.024414062,-0.96759033,0.32513428,0.03125,-1.359375,0.765625
1664986643474,0.037597656,-0.99664307,0.32733154,-0.796875,-1.609375,0.8125
1664986643519,0.06689453,-0.9546509,0.3324585,-1.203125,-3.125,1.140625
1664986643564,0.055419922,-0.93341064,0.30682373,1.46875,-4.578125,1.0
1664986643594,0.016357422,-0.9475708,0.29852295,2.171875,-3.625,-0.3125
1664986643640,0.021728516,-0.9517212,0.30047607,1.78125,-4.203125,-1.140625
1664986643679,0.036376953,-0.95513916,0.32000732,-0.546875,-3.9375,-0.78125
1664986643746,0.034179688,-0.9529419,0.31048584,-0.21875,-5.59375,-1.109375
1664986643758,0.03881836,-0.9578247,0.31195068,0.625,-4.734375,-1.484375
1664986643834,0.025390625,-0.9536743,0.3204956,0.484375,-3.578125,-1.125
1664986643842,0.02319336,-0.956604,0.32073975,1.421875,-3.484375,-0.5625
1664986643879,0.033691406,-0.9595337,0.31707764,1.71875,-1.375,-0.671875
1664986643910,0.03515625,-0.93707275,0.31488037,2.078125,-1.84375,-0.15625
1664986643953,0.020996094,-0.9458618,0.32513428,2.421875,-0.5625,-0.015625
1664986644001,-0.0021972656,-0.94537354,0.3126831,2.390625,-0.625,-0.21875
1664986644028,0.004638672,-0.9624634,0.30340576,1.828125,-1.171875,-0.671875
1664986644074,-0.013671875,-0.91607666,0.3427124,-1.140625,-1.78125,-0.78125
1664986644124,-0.05834961,-0.95684814,0.35784912,1.890625,-0.21875,1.515625
1664986644150,-0.037109375,-0.960022,0.35809326,0.171875,-0.4375,-0.046875
1664986644193,-0.022705078,-0.9429321,0.3348999,3.484375,0.0625,-0.3125
1664986644224,-0.04345703,-0.9356079,0.32635498,5.515625,2.140625,-0.109375
1664986644273,-0.032958984,-0.9221802,0.32147217,5.171875,1.890625,0.3125
1664986644314,-0.041015625,-0.93634033,0.3258667,5.671875,3.015625,0.4375
1664986644343,-0.067871094,-0.94732666,0.3366089,5.859375,4.828125,0.09375
1664986644393,-0.061035156,-0.94244385,0.33392334,5.78125,5.453125,-0.328125
1664986644436,-0.0637207,-0.9397583,0.33807373,4.4375,7.9375,-0.046875
1664986644465,-0.06323242,-0.9182739,0.35565186,3.234375,7.234375,0.546875
1664986644509,-0.07836914,-0.9402466,0.37542725,3.234375,8.359375,0.65625
1664986644557,-0.05883789,-0.9265747,0.38006592,0.921875,7.1875,1.421875
1664986644585,-0.0546875,-0.94244385,0.37200928,-1.390625,7.171875,1.03125
1664986644631,-0.023925781,-0.98516846,0.3944702,-2.484375,2.09375,0.984375
1664986644659,0.033447266,-1.0842896,0.35198975,1.171875,7.859375,0.515625
1664986644706,0.0715332,-1.017395,0.25408936,1.078125,10.984375,0.203125
1664986644750,0.063964844,-1.133606,0.28778076,-6.15625,4.0625,-2.515625
1664986644778,0.08325195,-1.0244751,0.2164917,1.71875,5.015625,-5.078125
1664986644824,0.18334961,-0.7852173,0.17962646,1.6875,4.0625,0.1875
1664986644876,0.16430664,-0.8364868,0.26361084,-4.1875,3.75,2.3125
1664986644907,0.076660156,-1.0437622,0.32562256,-4.265625,-4.09375,0.078125
