# Sensor type: Respeck
# Activity type: Sitting
# Activity code: 0
# Subject id: s1918275
# Notes: first try
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1664286655642,-0.056884766,-0.050842285,1.0289917,4.046875,-0.75,0.203125
1664286655715,-0.045654297,0.013366699,1.0336304,1.0625,-0.125,0.03125
1664286655717,-0.045654297,0.007751465,1.0348511,0.375,0.125,0.078125
1664286655789,-0.044433594,-7.9345703E-4,1.0326538,0.640625,0.171875,0.046875
1664286655805,-0.047851562,0.01751709,1.0377808,-0.375,0.328125,0.40625
1664286655835,-0.046142578,0.018249512,1.0514526,0.09375,0.203125,-7.375
1664286655925,-0.037353516,0.020690918,1.0272827,-0.84375,0.328125,1.015625
1664286655927,-0.042236328,-0.0071411133,1.0551147,-12.25,2.640625,8.5
1664286655959,-0.045654297,0.4105835,1.0734253,6.3125,-1.359375,-95.40625
1664286656002,0.06567383,-0.28546143,1.0206909,5.875,-2.234375,-102.0625
1664286656031,0.0029296875,-0.020568848,1.0299683,1.265625,-0.71875,-89.21875
1664286656105,0.1706543,0.18328857,1.0280151,-0.390625,-17.359375,44.359375
1664286656121,-0.099365234,-0.042785645,0.9935913,-5.703125,-6.40625,69.875
1664286656149,0.091552734,0.04949951,1.1425171,-10.203125,-8.359375,10.765625
1664286656225,-0.07885742,0.18695068,1.137146,17.1875,-20.546875,34.734375
1664286656247,-0.17138672,-0.08087158,1.5199585,87.296875,24.671875,36.8125
1664286656269,-0.18261719,-0.42462158,1.4984741,147.84375,78.390625,1.8125
1664286656345,-0.10180664,-0.6123657,1.0968628,193.28125,104.390625,17.453125
1664286656366,0.016601562,-0.7046509,1.0241089,307.39062,139.59375,43.5
1664286656389,0.032958984,-0.55963135,0.28070068,275.53125,110.0625,-15.59375
1664286656467,0.35546875,-0.62872314,0.33221436,290.20312,121.703125,-102.640625
1664286656470,0.099121094,-0.058898926,-0.17266846,162.70312,66.96875,-15.171875
1664286656538,0.25927734,-0.7119751,-1.225647,187.85938,106.78125,12.046875
1664286656564,0.47851562,-0.6069946,-0.32330322,226.25,80.59375,-96.828125
1664286656584,0.24438477,-0.25152588,-1.039856,-20.640625,53.46875,26.34375
1664286656660,0.52612305,-0.43829346,-1.2681274,40.640625,-21.859375,118.359375
1664286656673,0.7207031,-0.23565674,-1.2783813,20.671875,-20.71875,-19.390625
1664286656704,0.45996094,-0.1963501,-1.2200317,-75.5625,-131.15625,-86.25
1664286656783,0.11450195,-0.69854736,-0.30596924,224.04688,-335.64062,164.64062
1664286656786,-0.033691406,0.024353027,-0.3760376,-183.71875,-83.140625,511.98438
1664286656859,-0.037841797,0.40911865,-0.15557861,-54.53125,-260.75,494.48438
1664286656872,1.9240723,1.2406616,-0.19244385,81.703125,-53.5625,-177.48438
1664286656899,0.53466797,0.86468506,-0.61016846,42.796875,-48.25,-44.65625
1664286656982,0.5488281,0.963562,-0.5586548,25.125,-30.796875,-16.90625
1664286656991,0.34375,0.47991943,-0.3352661,62.15625,-7.765625,-49.921875
1664286657021,0.16870117,0.324646,-0.13702393,47.515625,17.125,-3.53125
1664286657096,0.18676758,0.3361206,-0.10723877,45.890625,29.390625,-2.34375
1664286657112,0.29614258,0.3085327,0.17132568,66.203125,23.65625,10.453125
1664286657147,0.25463867,0.20965576,-0.1572876,52.90625,8.5,-28.0625
1664286657214,0.09765625,0.463562,-0.19732666,52.875,71.234375,7.03125
1664286657217,0.63256836,0.6288452,-0.08795166,37.25,50.578125,-26.671875
1664286657292,1.6787109,0.38250732,0.23138428,88.59375,65.296875,4.421875
1664286657312,1.999939,0.79681396,0.5326538,22.25,34.59375,-10.484375
1664286657334,1.999939,1.0551147,1.2579956,97.3125,8.3125,-5.8125
1664286657409,1.8999023,0.66278076,1.2011108,68.234375,-73.84375,1.421875
1664286657425,1.4909668,0.6749878,0.92230225,85.015625,-168.42188,-43.4375
1664286657455,0.8027344,0.6322632,0.64056396,73.546875,-217.53125,-56.9375
1664286657500,0.017089844,0.74871826,-0.5286255,-2.078125,-233.40625,-35.984375
1664286657534,-0.14746094,1.5563354,-1.6123657,-34.703125,-113.953125,44.234375
1664286657575,-0.40185547,1.5045776,-1.9934692,105.96875,-103.890625,26.109375
1664286657624,0.23095703,1.2453003,-1.7122192,131.09375,0.359375,80.6875
1664286657649,0.15063477,-0.18389893,-0.89019775,188.79688,67.671875,84.828125
1664286657731,0.66845703,-0.7036743,-0.678772,48.796875,197.48438,204.89062
1664286657743,1.999939,-2.0,0.07489014,102.21875,214.5,110.40625
1664286657769,1.999939,-2.0,0.05316162,10.78125,212.10938,98.734375
1664286657851,1.999939,-2.0,1.2650757,-85.78125,101.296875,47.15625
1664286657854,1.999939,-1.65802,1.5836792,-99.453125,-39.859375,-7.640625
1664286657920,1.999939,-0.90509033,0.7387085,-212.04688,-39.609375,56.421875
1664286657938,1.999939,0.10809326,-0.6699829,-212.90625,-241.64062,-54.046875
1664286657964,1.3547363,0.7289429,-1.5603638,-174.85938,-226.70312,-65.359375
1664286658039,-0.2163086,1.999939,-2.0,-57.265625,-234.54688,-62.828125
1664286658055,-1.5981445,1.999939,-2.0,74.828125,29.625,-13.359375
1664286658084,-0.3996582,0.76776123,-1.2608032,252.84375,127.9375,-51.53125
1664286658159,0.9345703,-0.88482666,-0.7420044,195.90625,226.21875,38.546875
1664286658174,1.999939,-2.0,1.1200562,195.09375,160.71875,-0.203125
1664286658204,1.999939,-2.0,1.999939,-15.609375,75.34375,102.3125
1664286658281,1.999939,-2.0,1.999939,-143.21875,-132.04688,49.984375
1664286658288,1.5078125,-1.2554321,-0.09967041,-216.28125,-237.25,33.203125
1664286658357,0.54003906,0.46844482,-1.7271118,-190.89062,-260.5,10.59375
1664286658375,-1.0612793,1.9081421,-2.0,-88.6875,-179.5625,22.140625
1664286658401,-1.1921387,1.999939,-2.0,33.265625,-14.671875,19.3125
1664286658476,-0.1928711,1.0687866,-1.4490356,230.59375,143.59375,52.953125
1664286658488,1.2739258,-1.1311646,-0.29327393,183.20312,181.21875,47.421875
1664286658526,1.999939,-2.0,1.7423706,72.078125,277.76562,107.40625
1664286658568,1.999939,-2.0,1.999939,7.703125,10.328125,-24.421875
1664286658598,1.999939,-1.2732544,1.999939,-90.5625,-113.390625,36.046875
1664286658669,1.5056152,-0.567688,0.10101318,-112.953125,-192.89062,23.359375
1664286658686,0.8330078,-0.15020752,-1.107727,-120.625,-211.8125,-2.625
1664286658715,-0.47631836,0.84783936,-1.9746704,-85.03125,-188.09375,-40.09375
1664286658793,-0.77783203,1.8136597,-2.0,45.71875,-151.34375,-104.421875
1664286658806,-0.98217773,1.3768921,-2.0,139.82812,95.0,23.0625
1664286658834,0.296875,-0.7810669,-0.8977661,250.35938,198.5625,-6.5625
1664286658909,1.999939,-2.0,1.9030151,115.15625,194.98438,28.734375
1664286658912,1.999939,-1.7935181,1.999939,0.140625,112.421875,70.34375
1664286658954,1.999939,-1.3101196,1.999939,-92.859375,-95.59375,25.71875
1664286659032,1.0952148,-0.70025635,0.5578003,-137.03125,-191.17188,32.796875
1664286659036,-0.22021484,0.18719482,-1.4299927,-174.14062,-172.76562,53.140625
1664286659123,-1.574707,1.6747437,-2.0,-74.5625,-117.0625,27.734375
1664286659143,-1.3911133,1.4298706,-1.866272,33.671875,33.40625,76.265625
1664286659151,-0.94970703,1.0245972,-1.7676392,87.125,125.71875,-8.0
1664286659228,1.0622559,-0.395813,0.28997803,159.01562,238.625,57.5625
1664286659240,1.999939,-1.2376099,1.999939,18.078125,157.40625,-17.078125
1664286659279,1.999939,-0.28497314,1.999939,-72.765625,95.71875,107.109375
1664286659345,1.999939,0.25579834,1.6932983,-40.140625,-149.1875,26.6875
1664286659349,0.77905273,0.10809326,0.070007324,-61.953125,-175.32812,30.4375
1664286659419,-0.053955078,0.053894043,-0.70806885,-47.15625,-169.375,-1.09375
1664286659434,-1.1875,0.67108154,-2.0,-47.046875,-132.79688,-11.421875
1664286659467,-1.4501953,0.9723511,-2.0,62.40625,8.3125,-17.59375
1664286659543,-0.859375,-0.20904541,-1.5112915,147.0,108.859375,-42.484375
1664286659557,0.48583984,-0.92926025,0.25360107,149.60938,229.48438,-27.40625
1664286659592,1.999939,-2.0,1.999939,58.84375,149.51562,-53.78125
1664286659664,1.999939,-0.5586548,1.999939,-107.203125,41.140625,52.9375
1664286659666,1.999939,0.08465576,1.5119019,-55.0,-180.73438,9.6875
1664286659735,0.50024414,0.043395996,-0.3501587,-89.71875,-194.26562,29.5
1664286659752,-1.1035156,0.31341553,-2.0,-91.953125,-209.67188,-18.53125
1664286659782,-2.0,0.9406128,-2.0,-66.890625,-75.34375,6.1875
1664286659858,-1.7431641,0.89227295,-2.0,16.296875,125.1875,24.25
1664286659873,-0.63134766,0.020690918,-1.6001587,141.65625,168.92188,-48.796875
1664286659899,1.6333008,-0.21295166,0.65301514,73.953125,353.09375,59.078125
1664286659975,1.999939,-0.2913208,1.999939,-4.796875,165.0625,-41.5
1664286659990,1.999939,1.4594116,1.999939,-60.734375,35.515625,56.90625
1664286660024,1.999939,0.37738037,1.6325073,72.78125,-193.0,53.375
1664286660066,0.6726074,-0.34918213,-0.1651001,-8.65625,-225.96875,42.46875
1664286660095,-1.0415039,-0.70269775,-2.0,-49.90625,-181.42188,11.8125
1664286660140,-1.7353516,0.23040771,-2.0,-46.203125,-62.15625,-42.265625
1664286660223,-1.4060059,0.06585693,-2.0,69.6875,108.5,-41.8125
1664286660227,-0.23852539,-0.6602173,-1.0996704,154.25,128.92188,-106.890625
1664286660289,1.3825684,-0.92315674,0.6137085,106.609375,242.65625,-36.546875
1664286660365,1.999939,-1.2988892,1.999939,1.65625,127.890625,-49.140625
1664286660369,1.999939,0.08807373,1.999939,-80.828125,-47.046875,28.03125
1664286660379,1.999939,0.24139404,1.229187,-45.796875,-212.1875,16.828125
1664286660410,0.60668945,-0.15338135,-0.16021729,-44.609375,-247.40625,3.28125
1664286660485,-1.277832,0.23382568,-2.0,-99.046875,-216.73438,-30.140625
1664286660501,-2.0,1.6532593,-2.0,-49.96875,-48.703125,-15.84375
1664286660528,-1.2851562,0.43182373,-2.0,97.640625,128.84375,7.390625
1664286660607,-0.11621094,-0.18609619,-1.130188,124.296875,138.125,-39.59375
1664286660619,1.3581543,-0.3093872,0.50408936,85.46875,223.375,42.09375
1664286660650,1.999939,-0.95758057,1.999939,55.203125,89.9375,4.6875
1664286660725,1.999939,-0.3657837,1.999939,-17.484375,39.625,90.078125
1664286660728,1.999939,-0.19390869,1.999939,-15.34375,-138.5,31.96875
1664286660803,1.3293457,-0.19586182,0.9598999,-53.546875,-170.95312,35.9375
1664286660815,-0.3725586,-0.2107544,-0.9837036,-82.203125,-171.79688,30.609375
1664286660845,-1.6853027,0.5758667,-2.0,-80.609375,-89.34375,-25.203125
1664286660919,-1.4645996,0.58929443,-2.0,51.703125,101.15625,-11.171875
1664286660935,-0.28125,-0.77545166,-1.5230103,177.17188,161.35938,-49.8125
1664286660965,1.0317383,-0.9277954,0.18035889,92.546875,205.28125,-16.625
1664286661041,1.999939,-1.6482544,1.999939,10.28125,146.875,0.953125
1664286661057,1.999939,-0.41363525,1.999939,-79.296875,9.203125,40.796875
1664286661085,1.999939,-0.17901611,1.8607788,-36.59375,-202.3125,-4.671875
1664286661162,0.9663086,-0.21881104,-0.031799316,-70.390625,-201.10938,8.890625
1664286661167,-0.67871094,0.0036010742,-1.6087036,-92.9375,-181.76562,-5.03125
1664286661236,-2.0,0.8505249,-2.0,-60.1875,-129.90625,-39.765625
1664286661252,-1.8029785,0.9491577,-2.0,23.875,103.328125,-0.109375
1664286661279,-0.45654297,0.22845459,-1.3347778,136.34375,132.46875,-62.65625
1664286661358,1.0053711,-0.35235596,-0.050842285,155.4375,229.03125,-11.59375
1664286661372,1.999939,-1.4172974,1.999939,50.375,158.89062,23.5
1664286661406,1.999939,-0.7241821,1.999939,-39.296875,19.515625,34.453125
1664286661479,1.999939,0.078308105,1.999939,-86.328125,-99.765625,78.59375
1664286661483,0.6965332,-0.03692627,0.463562,-61.484375,-154.125,84.890625
1664286661552,-1.2561035,0.10614014,-1.0112915,-77.796875,-156.32812,46.984375
1664286661567,-2.0,1.1102905,-2.0,-61.984375,-41.109375,7.453125
1664286661596,-1.1728516,0.6642456,-2.0,99.28125,100.859375,-25.578125
1664286661671,0.18579102,-0.48590088,-1.1438599,139.40625,168.14062,-53.921875
1664286661685,1.999939,-0.8208618,0.1005249,92.625,233.48438,-2.03125
1664286661715,1.999939,-1.2175903,1.999939,54.4375,59.84375,-46.21875
1664286661790,1.999939,-0.044006348,1.999939,-80.90625,26.546875,101.25
1664286661794,1.999939,0.3078003,1.3378296,-25.921875,-158.0625,62.171875
1664286661869,0.26757812,0.0602417,0.1696167,-37.421875,-163.14062,82.609375
1664286661884,-1.5283203,0.47943115,-1.0291138,-66.234375,-110.9375,58.15625
1664286661910,-1.7429199,1.4301147,-1.9788208,39.09375,-19.296875,-17.5625
1664286661985,-0.3779297,0.4406128,-1.5855103,167.01562,142.96875,34.125
1664286662000,1.1298828,-0.3237915,-0.38604736,155.46875,179.67188,41.390625
1664286662037,1.999939,-0.5523071,1.9645386,110.671875,69.109375,43.3125
1664286662108,1.999939,-0.23809814,1.999939,0.328125,12.265625,130.60938
1664286662123,0.59887695,0.42547607,0.6749878,-38.515625,-49.46875,120.375
1664286662166,-0.20288086,1.3505249,-0.56500244,-53.5,-16.296875,85.40625
1664286662197,-0.1538086,1.9581909,-1.6089478,36.9375,106.375,43.140625
1664286662226,1.795166,1.1500854,-1.3599243,194.84375,170.28125,-22.1875
1664286662300,1.999939,0.21697998,0.20233154,193.76562,116.25,55.921875
1664286662321,1.999939,-1.0003052,1.999939,168.9375,-21.046875,79.234375
1664286662345,1.999939,-0.85601807,1.9620972,11.078125,-112.1875,128.0625
1664286662419,0.66796875,-0.14141846,0.3866577,-44.125,-118.40625,146.3125
1664286662435,-0.123291016,0.49090576,-0.5628052,-35.640625,-139.07812,84.765625
1664286662464,-0.9621582,1.4596558,-1.8320923,-41.4375,-63.875,86.203125
1664286662542,-0.49072266,1.4786987,-2.0,100.09375,73.21875,30.390625
1664286662546,0.4880371,0.06390381,-1.03302,208.20312,144.25,35.703125
1664286662620,1.7087402,-1.4141235,1.0490112,183.82812,134.95312,19.328125
1664286662629,1.999939,-1.8396606,1.999939,16.71875,53.03125,61.609375
1664286662664,1.999939,-0.7583618,1.999939,-87.59375,-27.875,94.671875
1664286662746,1.3066406,-0.09918213,0.8734741,-74.96875,-120.734375,82.09375
1664286662759,-0.32641602,-0.1987915,-0.105285645,-33.65625,-165.67188,38.328125
1664286662797,-1.6135254,1.0253296,-1.4822388,-78.8125,-115.34375,-16.953125
1664286662825,-1.5368652,1.7304077,-2.0,75.4375,68.5,1.375
1664286662902,-0.12890625,-0.13873291,-1.135315,199.0625,207.85938,17.28125
1664286662908,1.999939,-1.598938,1.5067749,164.03125,99.3125,-87.515625
1664286662983,1.999939,-1.7979126,1.999939,36.078125,10.875,44.734375
1664286662988,1.4506836,-0.93927,1.999939,-103.40625,-77.984375,71.828125
1664286663021,0.0769043,-0.026184082,0.27508545,-129.6875,-95.171875,96.390625
1664286663095,-1.2636719,1.163269,-1.1004028,-105.9375,-76.0,65.578125
1664286663098,-1.4985352,1.8012085,-1.6116333,75.84375,26.4375,-36.921875
1664286663171,-0.20385742,0.14056396,-0.4837036,178.95312,186.40625,-23.578125
1664286663183,1.9006348,-1.3074341,1.6930542,104.453125,97.1875,-38.515625
1664286663216,1.9221191,-0.48614502,1.5126343,-25.453125,66.1875,6.9375
1664286663290,1.5405273,-0.009094238,1.0106812,-22.296875,50.453125,46.203125
1664286663294,0.8679199,0.018249512,0.5360718,-5.984375,-2.0,9.375
1664286663365,0.5678711,0.061950684,0.30755615,-9.3125,9.078125,14.9375
1664286663382,0.7258301,-0.028869629,0.38641357,-11.421875,25.203125,38.4375
1664286663412,0.6411133,-0.15679932,0.40618896,5.53125,-45.921875,-30.046875
1664286663487,0.86694336,-0.057678223,0.44940186,-23.421875,47.296875,12.390625
1664286663506,1.4831543,0.06488037,0.73724365,-29.09375,60.65625,21.796875
1664286663530,1.4506836,0.10076904,0.7814331,-19.625,-6.203125,-21.46875
1664286663605,1.0793457,0.19769287,0.5878296,-32.4375,33.359375,32.953125
1664286663608,0.8120117,0.23968506,0.60565186,7.4375,-7.34375,-7.21875
1664286663681,0.73779297,0.23724365,0.5692749,7.90625,-12.34375,-3.921875
1664286663697,0.6303711,0.24676514,0.51776123,11.03125,-9.71875,4.09375
1664286663729,0.7116699,0.262146,0.50897217,8.765625,-18.921875,-15.015625
1664286663800,0.79003906,0.25408936,0.49163818,-1.875,-4.9375,-1.390625
1664286663815,0.9123535,0.2723999,0.508728,-13.671875,-5.453125,-7.359375
1664286663846,0.75219727,0.34417725,0.5380249,-7.921875,1.71875,10.8125
1664286663920,0.67456055,0.3012085,0.5475464,0.640625,-11.4375,-7.265625
1664286663939,0.75878906,0.28533936,0.5897827,5.625,-4.984375,-6.0625
1664286663967,0.7998047,0.2584839,0.56365967,-13.1875,-4.4375,4.140625
1664286664040,0.70092773,0.33172607,0.57147217,-1.5625,-4.203125,0.984375
1664286664045,0.7104492,0.26019287,0.7279663,-0.3125,12.203125,16.671875
1664286664118,0.8063965,0.17889404,1.4713745,16.9375,9.703125,4.5
1664286664130,1.7272949,-0.7998657,1.999939,-25.921875,22.21875,39.703125
1664286664160,1.999939,-0.989563,1.999939,-121.03125,3.046875,38.421875
1664286664236,1.999939,-0.45367432,0.83270264,-204.57812,16.90625,122.4375
1664286664251,1.8789062,-0.5288696,-0.45343018,-125.53125,-157.23438,44.28125
1664286664281,1.2067871,-0.93878174,-1.4175415,-166.78125,-105.734375,89.296875
1664286664372,0.16918945,-0.5310669,-1.7693481,-143.9375,-120.34375,69.859375
1664286664377,-0.24389648,-0.11529541,-1.5630493,-121.8125,-72.5625,67.625
1664286664401,-0.65527344,0.46746826,-1.3826294,-80.0625,-65.515625,15.15625
1664286664475,-0.5695801,0.79119873,-0.9819946,-37.546875,-30.90625,26.09375
1664286664478,-0.59887695,0.8290405,-0.9187622,-16.40625,-48.484375,-25.21875
