# Sensor type: Respeck
# Activity type: Sitting bent forward
# Activity code: 4
# Subject id: s1918275
# Notes: 
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1664627623876,0.33862305,-0.79034424,-0.47906494,-8.234375,-2.703125,0.671875
1664627623920,0.30737305,-0.8101196,-0.47735596,-12.6875,-1.578125,-2.859375
1664627623987,0.3503418,-0.7817993,-0.42462158,-8.25,1.4375,-1.921875
1664627623996,0.35205078,-0.8328247,-0.44024658,-4.578125,0.28125,-1.40625
1664627624057,0.34155273,-0.7984009,-0.45098877,-10.390625,-1.921875,-2.625
1664627624087,0.32763672,-0.8272095,-0.41461182,-7.875,-1.125,-2.09375
1664627624115,0.30273438,-0.8352661,-0.38531494,-7.4375,-0.765625,-3.609375
1664627624192,0.30541992,-0.83477783,-0.40777588,-5.984375,0.734375,-1.359375
1664627624206,0.3244629,-0.8435669,-0.3982544,-5.0625,0.109375,-2.265625
1664627624236,0.30517578,-0.8386841,-0.38580322,-1.859375,-1.203125,-2.21875
1664627624282,0.30664062,-0.8521118,-0.3826294,0.328125,-0.234375,-1.5
1664627624313,0.28833008,-0.83258057,-0.3838501,2.65625,-0.515625,0.640625
1664627624355,0.2993164,-0.8362427,-0.3694458,6.3125,0.296875,3.234375
1664627624403,0.31518555,-0.8479614,-0.3977661,6.796875,0.65625,4.875
1664627624429,0.30688477,-0.8364868,-0.4151001,6.125,0.390625,5.34375
1664627624474,0.3059082,-0.8237915,-0.41973877,7.453125,1.265625,6.453125
1664627624536,0.33764648,-0.8147583,-0.44073486,13.015625,4.40625,4.53125
1664627624552,0.33447266,-0.8023071,-0.43780518,11.375,3.796875,5.28125
1664627624617,0.3623047,-0.7996216,-0.45880127,12.90625,2.71875,2.5625
1664627624626,0.36523438,-0.7752075,-0.46539307,9.46875,0.578125,2.328125
1664627624686,0.35180664,-0.8027954,-0.49053955,5.59375,-0.421875,2.21875
1664627624717,0.35498047,-0.772522,-0.4512329,1.625,-1.828125,4.03125
1664627624746,0.36865234,-0.77471924,-0.5105591,5.0625,-1.0,2.21875
1664627624790,0.35742188,-0.7737427,-0.50494385,-4.734375,-2.6875,1.546875
1664627624837,0.34643555,-0.7703247,-0.46246338,-1.78125,-2.578125,1.578125
1664627624866,0.34643555,-0.7793579,-0.45806885,1.125,-1.265625,0.671875
1664627624910,0.35986328,-0.77911377,-0.47662354,0.8125,-0.5,0.03125
1664627624940,0.36401367,-0.7703247,-0.46832275,3.640625,-0.03125,-0.6875
1664627624986,0.35961914,-0.7871704,-0.46881104,3.375,0.296875,-0.578125
1664627625032,0.35839844,-0.7769165,-0.4854126,2.65625,0.203125,-0.5
1664627625065,0.37231445,-0.7727661,-0.48028564,1.625,0.046875,-1.25
1664627625105,0.3388672,-0.7776489,-0.49005127,-2.15625,-1.25,-0.390625
1664627625166,0.35620117,-0.7756958,-0.45611572,0.75,-0.5625,0.078125
1664627625182,0.3527832,-0.78131104,-0.4866333,-1.765625,-1.9375,-0.296875
1664627625256,0.36206055,-0.77423096,-0.47149658,-0.5625,-1.125,0.34375
1664627625269,0.35595703,-0.7737427,-0.4812622,1.921875,-0.234375,-1.5
1664627625302,0.35791016,-0.76641846,-0.47247314,-2.28125,-0.9375,-0.359375
1664627625346,0.35742188,-0.78790283,-0.45733643,5.15625,0.171875,0.078125
1664627625375,0.36572266,-0.77545166,-0.4932251,-3.84375,-0.640625,0.109375
1664627625421,0.3605957,-0.7761841,-0.46881104,-0.953125,-0.75,-1.875
1664627625499,0.33666992,-0.7888794,-0.45977783,-0.953125,-1.8125,0.15625
1664627625506,0.36279297,-0.78692627,-0.4512329,0.078125,-1.046875,0.265625
1664627625572,0.35375977,-0.79229736,-0.47198486,-0.875,-0.953125,0.46875
1664627625585,0.3630371,-0.78131104,-0.46588135,-2.046875,-1.296875,1.15625
1664627625614,0.3635254,-0.77667236,-0.45611572,0.40625,-0.34375,-0.65625
1664627625677,0.359375,-0.7854614,-0.44781494,-0.921875,-0.3125,0.703125
1664627625692,0.36279297,-0.78790283,-0.46148682,0.859375,-0.1875,-0.109375
1664627625753,0.35839844,-0.78375244,-0.45367432,-1.140625,-0.46875,0.40625
1664627625786,0.36669922,-0.7937622,-0.45318604,1.71875,0.046875,-0.421875
1664627625811,0.3552246,-0.78985596,-0.45098877,-0.875,-0.65625,0.40625
1664627625871,0.3671875,-0.79107666,-0.45489502,0.78125,0.0625,0.09375
1664627625907,0.36523438,-0.7913208,-0.46124268,-0.484375,-0.890625,0.828125
1664627625938,0.36791992,-0.784729,-0.44073486,-0.375,-0.421875,-0.828125
1664627625978,0.35620117,-0.7942505,-0.4553833,2.59375,-0.078125,0.984375
