timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1664629274032,-1.4667969,-0.07910156,0.31835938,2.15625,-66.46875,-78.625,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629274065,-1.9863281,0.3330078,0.16503906,-29.28125,-80.6875,-143.8125,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629274122,-1.5732422,0.3466797,0.25683594,-21.875,-60.1875,-96.34375,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629274155,-1.0585938,-0.109375,0.08984375,-95.4375,17.9375,-39.6875,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629274211,-1.1230469,-0.27539062,0.359375,-18.9375,-20.03125,-31.28125,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629274242,-0.5751953,0.1015625,0.12988281,21.5,-49.8125,4.1875,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629274274,-0.39648438,0.20898438,0.12890625,-10.53125,-22.03125,46.59375,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629274395,-0.47265625,0.125,0.087890625,-12.78125,-11.28125,72.71875,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629274400,-0.35546875,0.045898438,0.103515625,25.375,-1.15625,95.875,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629274405,-0.58984375,-0.34277344,-0.12109375,39.03125,19.84375,135.59375,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629274426,-0.78515625,-0.9111328,0.33496094,35.25,65.625,69.25,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629274484,-1.03125,-0.12988281,0.16113281,111.90625,35.84375,-20.90625,-112.0625,10.5625,-171.9375,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629274513,-1.171875,0.53515625,0.31152344,50.5,82.9375,-27.1875,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629274545,-1.9384766,0.7910156,0.77734375,-108.375,35.78125,-21.9375,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629274604,-1.9863281,0.13378906,0.31640625,-160.8125,-55.84375,-16.0625,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629274635,-0.73535156,-0.39160156,-0.24414062,-43.4375,-81.59375,-6.625,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629274666,-1.0566406,-0.41210938,-0.22265625,124.84375,-6.71875,15.65625,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629274725,-1.7753906,0.2109375,0.3251953,-58.6875,120.84375,-18.46875,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629274755,-0.7607422,0.3984375,0.018554688,61.125,6.40625,19.6875,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629274782,-0.68652344,0.19628906,0.04296875,37.6875,40.78125,50.625,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629274844,-0.9277344,-0.00390625,0.14160156,-26.09375,39.375,35.0625,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629274874,-0.8017578,-0.3203125,0.1328125,-4.25,9.84375,27.0625,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629274906,-0.4736328,-0.32421875,0.140625,2.84375,-24.71875,-17.0625,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629274963,-0.35058594,0.22949219,0.024414062,-26.75,-41.6875,-39.8125,-109.375,11.75,-177.625,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629274996,-0.6279297,0.20800781,0.053710938,-105.125,-4.15625,-38.84375,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629275027,-0.76953125,-0.27734375,-0.19824219,-5.09375,4.75,14.75,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629275083,-1.3027344,-0.6230469,-0.041015625,-9.5625,-25.8125,-15.40625,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629275112,-1.5527344,-0.080078125,0.171875,-4.25,-51.6875,-58.0,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629275144,-1.9726562,0.34570312,0.09667969,3.5,-51.28125,-119.21875,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629275202,-1.5576172,0.048828125,0.23046875,-21.625,-33.25,-97.4375,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
