timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1664629107635,0.3215332,-0.6851196,-0.16290283,12.578125,-2.828125,4.1875,Respeck,Descending stairs,13,s1918275,,Respeck_s1918275_Descending stairs_01-10-2022_13-59-10
1664629107706,0.14990234,-0.36968994,-0.1404419,10.359375,-23.9375,5.34375,Respeck,Descending stairs,13,s1918275,,Respeck_s1918275_Descending stairs_01-10-2022_13-59-10
1664629107720,-0.1899414,-0.47003174,-0.0044555664,1.734375,-12.90625,2.640625,Respeck,Descending stairs,13,s1918275,,Respeck_s1918275_Descending stairs_01-10-2022_13-59-10
1664629107754,0.0073242188,-0.70928955,-0.030334473,-9.90625,-5.109375,-4.5,Respeck,Descending stairs,13,s1918275,,Respeck_s1918275_Descending stairs_01-10-2022_13-59-10
1664629107812,0.041503906,-1.0064087,-0.11895752,-19.015625,0.09375,0.140625,Respeck,Descending stairs,13,s1918275,,Respeck_s1918275_Descending stairs_01-10-2022_13-59-10
1664629107826,-0.1743164,-1.18927,0.07098389,-8.4375,1.484375,-7.59375,Respeck,Descending stairs,13,s1918275,,Respeck_s1918275_Descending stairs_01-10-2022_13-59-10
1664629107872,0.099609375,-0.88116455,-0.21392822,-2.875,4.859375,2.734375,Respeck,Descending stairs,13,s1918275,,Respeck_s1918275_Descending stairs_01-10-2022_13-59-10
1664629107917,0.6994629,-0.9277954,-0.45977783,17.640625,13.46875,8.390625,Respeck,Descending stairs,13,s1918275,,Respeck_s1918275_Descending stairs_01-10-2022_13-59-10
1664629107948,1.0854492,-1.9658813,-0.105285645,-15.21875,-26.65625,22.25,Respeck,Descending stairs,13,s1918275,,Respeck_s1918275_Descending stairs_01-10-2022_13-59-10
1664629107992,-0.045410156,-1.4273071,-0.093566895,15.890625,-35.578125,4.28125,Respeck,Descending stairs,13,s1918275,,Respeck_s1918275_Descending stairs_01-10-2022_13-59-10
1664629108064,-0.43798828,-0.9585571,-0.09307861,28.59375,5.734375,-5.03125,Respeck,Descending stairs,13,s1918275,,Respeck_s1918275_Descending stairs_01-10-2022_13-59-10
1664629108068,0.5629883,-0.9072876,-0.089904785,10.765625,-0.265625,4.609375,Respeck,Descending stairs,13,s1918275,,Respeck_s1918275_Descending stairs_01-10-2022_13-59-10
1664629108141,0.3618164,-0.9612427,0.15008545,5.234375,-0.6875,4.9375,Respeck,Descending stairs,13,s1918275,,Respeck_s1918275_Descending stairs_01-10-2022_13-59-10
1664629108156,-0.2758789,-0.5252075,0.04852295,-6.34375,0.234375,0.890625,Respeck,Descending stairs,13,s1918275,,Respeck_s1918275_Descending stairs_01-10-2022_13-59-10
1664629108186,0.16503906,-0.1729126,0.02142334,-1.390625,31.109375,4.625,Respeck,Descending stairs,13,s1918275,,Respeck_s1918275_Descending stairs_01-10-2022_13-59-10
1664629108245,0.13793945,-0.47735596,-0.03375244,-3.3125,28.359375,-15.59375,Respeck,Descending stairs,13,s1918275,,Respeck_s1918275_Descending stairs_01-10-2022_13-59-10
1664629108261,0.15771484,-0.7168579,-0.21539307,11.734375,6.1875,-15.484375,Respeck,Descending stairs,13,s1918275,,Respeck_s1918275_Descending stairs_01-10-2022_13-59-10
1664629108320,0.6269531,-1.0523071,0.043151855,-10.84375,-5.65625,0.421875,Respeck,Descending stairs,13,s1918275,,Respeck_s1918275_Descending stairs_01-10-2022_13-59-10
1664629108351,-0.033447266,-1.4890747,-0.23443604,2.625,-9.3125,-4.484375,Respeck,Descending stairs,13,s1918275,,Respeck_s1918275_Descending stairs_01-10-2022_13-59-10
